     njet  bjet  ht_low      ht_high  mht_bin  mht_low    mht_high           bkg       bkg_err        bkgTtw    bkgTtw_err       bkgZinv   bkgZinv_err        bkgQcd    bkgQcd_err      data  data_err_up  data_err_down
29   eq2j  eq1b   900.0  1200.000000        1      400  600.000000  1.491296e+01  3.931875e+00  5.188745e+00  1.587097e+00  9.724215e+00  2.227539e+00  2.000000e-12  1.771449e-12      15.0     4.324900       3.681300
30   eq2j  eq1b   900.0  1200.000000        2      600  900.000000  7.421590e+00  3.212166e+00  1.260451e+00  5.953596e-01  6.161139e+00  2.436991e+00  2.000000e-12  1.769625e-12      12.0     4.292000       3.170900
31   eq2j  eq1b   900.0  1200.000000        3      900         inf  3.167643e+00  2.065430e+00  5.418035e-01  3.732050e-01  2.625839e+00  1.598384e+00  2.000000e-12  1.769266e-12       6.0     3.278300       2.176900
32   eq2j  eq1b  1200.0          inf        0      200  400.000000  1.129397e+00  5.107650e-01  4.002418e-01  1.561401e-01  7.291551e-01  4.378100e-01  1.000000e-12  9.629080e-13       1.0     1.750500       0.632100
33   eq2j  eq1b  1200.0          inf        1      400  600.000000  3.401823e+00  1.069135e+00  1.098452e+00  3.529479e-01  2.303371e+00  7.741683e-01  1.000000e-12  9.646364e-13       6.0     3.278300       2.176900
34   eq2j  eq1b  1200.0          inf        2      600  900.000000  2.095644e+00  9.209286e-01  4.842624e-01  2.537634e-01  1.611382e+00  6.829138e-01  1.000000e-12  9.636090e-13       1.0     1.750500       0.632100
35   eq2j  eq1b  1200.0          inf        3      900         inf  1.961936e+00  1.466892e+00  3.184437e-01  2.677149e-01  1.643493e+00  1.236906e+00  1.000000e-12  9.629923e-13       4.0     2.776400       1.664100
36   eq2j  eq2b   200.0   400.000000        0      200         inf  1.960816e+02  4.578292e+01  8.753000e+01  1.830833e+01  1.079121e+02  2.134760e+01  6.395000e-01  4.915669e-01     254.0    15.937377      15.937377
37   eq2j  eq2b   400.0   600.000000        0      200  400.000000  1.320695e+01  3.619923e+00  3.019344e+00  8.797411e-01  9.867221e+00  2.754087e+00  3.203874e-01  2.888708e-01      22.0     5.315000       4.695700
38   eq2j  eq2b   400.0   600.000000        1      400         inf  1.517455e+01  3.831736e+00  3.803856e+00  1.035267e+00  1.101008e+01  2.714457e+00  3.606126e-01  3.250732e-01      18.0     4.816900       4.194000
39   eq2j  eq2b   600.0          inf        0      200  400.000000  1.807642e+00  5.543865e-01  5.949301e-01  1.681153e-01  1.187170e+00  3.953139e-01  2.554189e-02  3.131315e-02       1.0     1.750500       0.632100
40   eq2j  eq2b   600.0          inf        1      400  600.000000  1.899083e+00  5.056007e-01  4.770323e-01  1.457074e-01  1.391139e+00  3.184289e-01  3.091078e-02  3.837917e-02       2.0     2.250400       1.264200
41   eq2j  eq2b   600.0          inf        2      600         inf  2.348776e+00  9.964141e-01  5.529376e-01  2.170403e-01  1.755091e+00  6.688824e-01  4.074733e-02  4.902537e-02       2.0     2.250400       1.264200
42   eq2j  eq2b   900.0          NaN        0      200  400.000000           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN       NaN          NaN            NaN
43   eq2j  eq2b   900.0          NaN        1      400  600.000000           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN       NaN          NaN            NaN
44   eq2j  eq2b   900.0          NaN        2      600  900.000000           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN       NaN          NaN            NaN
45   eq2j  eq2b   900.0          NaN        3      900         inf           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN       NaN          NaN            NaN
46   eq3j  eq0b   200.0   400.000000        0      200         inf  1.050431e+04  1.752855e+03  4.904995e+03  8.163610e+02  5.452844e+03  8.079578e+02  1.464714e+02  1.108921e+02   11815.0   108.696826     108.696826
47   eq3j  eq0b   400.0   600.000000        0      200  400.000000  6.666887e+03  1.150133e+03  2.859054e+03  5.350337e+02  3.782476e+03  6.191867e+02  2.535759e+01  2.378137e+01    7120.0    84.380092      84.380092
48   eq3j  eq0b   400.0   600.000000        1      400         inf  1.391039e+03  2.890044e+02  4.465725e+02  1.127447e+02  9.391752e+02  2.011612e+02  5.291308e+00  4.794534e+00    1463.0    38.249183      38.249183
49   eq3j  eq0b   600.0   900.000000        0      200  400.000000  6.985263e+02  1.318479e+02  2.760282e+02  5.592577e+01  4.224981e+02  9.232605e+01  1.202308e-05  1.109461e-05     668.0    25.845696      25.845696
50   eq3j  eq0b   600.0   900.000000        1      400  600.000000  5.819639e+02  1.161613e+02  1.726044e+02  4.165363e+01  4.093595e+02  7.503034e+01  1.001787e-05  9.120132e-06     593.0    24.351591      24.351591
51   eq3j  eq0b   600.0   900.000000        2      600         inf  2.314124e+02  8.797164e+01  5.518638e+01  2.241468e+01  1.762260e+02  5.910276e+01  3.983050e-06  3.478563e-06     246.0    15.684387      15.684387
52   eq3j  eq0b   900.0  1200.000000        0      200  400.000000  2.752925e+02  5.062938e+01  1.030168e+02  2.090584e+01  1.722756e+02  3.770444e+01  4.883708e-07  4.244623e-07     245.0    15.652476      15.652476
53   eq3j  eq0b   900.0  1200.000000        1      400  600.000000  1.823434e+02  3.179179e+01  5.052431e+01  1.200053e+01  1.318191e+02  2.063965e+01  3.234842e-07  2.758504e-07     164.0    12.806248      12.806248
54   eq3j  eq0b   900.0  1200.000000        2      600  900.000000  1.098398e+02  4.289267e+01  2.334393e+01  1.020824e+01  8.649587e+01  3.084388e+01  1.359430e-07  1.285578e-07     101.0    10.049876      10.049876
55   eq3j  eq0b   900.0  1200.000000        3      900         inf  2.820239e+01  1.661992e+01  5.558828e+00  3.267193e+00  2.264356e+01  1.242764e+01  2.000105e-12  1.708206e-12      19.0     4.824700       4.180600
56   eq3j  eq0b  1200.0          inf        0      200  400.000000  2.251419e+01  6.421064e+00  7.064362e+00  1.886724e+00  1.512270e+01  5.463275e+00  3.271275e-01  3.403173e-01      21.0     5.307900       4.708000
57   eq3j  eq0b  1200.0          inf        1      400  600.000000  5.417539e+01  1.257869e+01  1.590408e+01  4.819092e+00  3.748388e+01  8.479227e+00  7.874327e-01  8.172776e-01      28.0     5.822300       5.183100
58   eq3j  eq0b  1200.0          inf        2      600  900.000000  3.612588e+01  1.438698e+01  8.678499e+00  3.819837e+00  2.692241e+01  1.088871e+01  5.249678e-01  5.455745e-01      31.0     5.567764       5.567764
59   eq3j  eq0b  1200.0          inf        3      900         inf  2.196453e+01  1.645166e+01  3.285861e+00  2.844477e+00  1.835950e+01  1.383595e+01  3.191721e-01  3.316804e-01      17.0     4.808400       4.209500
60   eq3j  eq1b   200.0   400.000000        0      200         inf  2.242583e+03  3.718362e+02  1.576938e+03  2.476603e+02  6.343306e+02  9.647612e+01  3.131460e+01  2.333686e+01    2703.0    51.990384      51.990384
