     njet  bjet  ht_low      ht_high  mht_bin  mht_low    mht_high           bkg       bkg_err        bkgTtw    bkgTtw_err       bkgZinv   bkgZinv_err        bkgQcd    bkgQcd_err      data  data_err_up  data_err_down
29   eq2j  eq1b   900.0  1200.000000        1      400  600.000000  1.757342e+01  2.052376e+00  5.134966e+00  1.088113e+00  1.243845e+01  3.405317e+00  1.999936e-12  1.581773e-12      15.0     4.324900       3.681300
30   eq2j  eq1b   900.0  1200.000000        2      600  900.000000  1.022045e+01  1.499207e+00  1.348453e+00  3.421734e-01  8.872001e+00  2.619194e+00  2.000157e-12  1.583663e-12      12.0     4.292000       3.170900
31   eq2j  eq1b   900.0  1200.000000        3      900         inf  4.669676e+00  8.095194e-01  6.398249e-01  2.080476e-01  4.029851e+00  1.358403e+00  1.999931e-12  1.583756e-12       6.0     3.278300       2.176900
32   eq2j  eq1b  1200.0          inf        0      200  400.000000  1.053961e+00  2.562349e-01  3.838539e-01  1.119744e-01  6.701067e-01  2.775766e-01  1.000015e-12  1.118344e-12       1.0     1.750500       0.632100
33   eq2j  eq1b  1200.0          inf        1      400  600.000000  3.592626e+00  8.522557e-01  1.039655e+00  1.996831e-01  2.552971e+00  8.538836e-01  1.000025e-12  1.117900e-12       6.0     3.278300       2.176900
34   eq2j  eq1b  1200.0          inf        2      600  900.000000  2.521549e+00  6.600552e-01  5.177256e-01  1.072725e-01  2.003823e+00  6.559646e-01  9.999741e-13  1.118581e-12       1.0     1.750500       0.632100
35   eq2j  eq1b  1200.0          inf        3      900         inf  2.737341e+00  8.006480e-01  3.836077e-01  1.070671e-01  2.353734e+00  7.971258e-01  9.999866e-13  1.119368e-12       4.0     2.776400       1.664100
36   eq2j  eq2b   200.0   400.000000        0      200         inf  2.506382e+02  9.171370e+00  1.046009e+02  1.478101e+01  1.453958e+02  1.748848e+01  6.414803e-01  5.445330e-01     254.0    15.937377      15.937377
37   eq2j  eq2b   400.0   600.000000        0      200  400.000000  1.507825e+01  1.058549e+00  3.113138e+00  6.302754e-01  1.132045e+01  1.318021e+00  6.446569e-01  7.520824e-01      22.0     5.315000       4.695700
38   eq2j  eq2b   400.0   600.000000        1      400         inf  1.845120e+01  1.157818e+00  4.328198e+00  7.690052e-01  1.346094e+01  1.581052e+00  6.620606e-01  7.404662e-01      18.0     4.816900       4.194000
39   eq2j  eq2b   600.0          inf        0      200  400.000000  1.742246e+00  2.141364e-01  5.000880e-01  1.591782e-01  1.222917e+00  2.651888e-01  1.924073e-02  1.613706e-02       1.0     1.750500       0.632100
40   eq2j  eq2b   600.0          inf        1      400  600.000000  2.139745e+00  2.242854e-01  4.371698e-01  1.217065e-01  1.679465e+00  2.743831e-01  2.311020e-02  1.927019e-02       2.0     2.250400       1.264200
41   eq2j  eq2b   600.0          inf        2      600         inf  3.001281e+00  3.026554e-01  5.446218e-01  1.416300e-01  2.425592e+00  4.174879e-01  3.106742e-02  2.643717e-02       2.0     2.250400       1.264200
42   eq2j  eq2b   900.0          NaN        0      200  400.000000           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN       NaN          NaN            NaN
43   eq2j  eq2b   900.0          NaN        1      400  600.000000           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN       NaN          NaN            NaN
44   eq2j  eq2b   900.0          NaN        2      600  900.000000           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN       NaN          NaN            NaN
45   eq2j  eq2b   900.0          NaN        3      900         inf           NaN           NaN           NaN           NaN           NaN           NaN           NaN           NaN       NaN          NaN            NaN
46   eq3j  eq0b   200.0   400.000000        0      200         inf  1.188809e+04  1.179377e+02  5.589200e+03  3.690239e+02  6.165756e+03  3.910755e+02  1.331337e+02  1.058661e+02   11815.0   108.696826     108.696826
47   eq3j  eq0b   400.0   600.000000        0      200  400.000000  7.102854e+03  8.970562e+01  2.971154e+03  1.652251e+02  4.106631e+03  2.112044e+02  2.506864e+01  2.614010e+01    7120.0    84.380092      84.380092
48   eq3j  eq0b   400.0   600.000000        1      400         inf  1.474740e+03  3.440355e+01  4.928093e+02  6.089355e+01  9.766255e+02  8.275956e+01  5.305405e+00  5.931749e+00    1463.0    38.249183      38.249183
49   eq3j  eq0b   600.0   900.000000        0      200  400.000000  6.484821e+02  1.922262e+01  2.612847e+02  2.436812e+01  3.871974e+02  3.668104e+01  1.202313e-05  1.085850e-05     668.0    25.845696      25.845696
50   eq3j  eq0b   600.0   900.000000        1      400  600.000000  5.756475e+02  1.732550e+01  1.748681e+02  1.596190e+01  4.007793e+02  2.605025e+01  1.001790e-05  8.947924e-06     593.0    24.351591      24.351591
51   eq3j  eq0b   600.0   900.000000        2      600         inf  2.409187e+02  1.040381e+01  6.201041e+01  7.666964e+00  1.789083e+02  1.642428e+01  3.982984e-06  3.494557e-06     246.0    15.684387      15.684387
52   eq3j  eq0b   900.0  1200.000000        0      200  400.000000  2.429259e+02  1.181769e+01  8.406067e+01  1.195681e+01  1.588653e+02  1.857016e+01  4.883381e-07  4.791703e-07     245.0    15.652476      15.652476
53   eq3j  eq0b   900.0  1200.000000        1      400  600.000000  1.585710e+02  7.805686e+00  4.389260e+01  5.853303e+00  1.146784e+02  1.146483e+01  3.235312e-07  3.033412e-07     164.0    12.806248      12.806248
54   eq3j  eq0b   900.0  1200.000000        2      600  900.000000  9.988194e+01  5.764230e+00  2.138751e+01  3.654215e+00  7.849443e+01  8.559606e+00  1.359287e-07  1.507249e-07     101.0    10.049876      10.049876
55   eq3j  eq0b   900.0  1200.000000        3      900         inf  2.439977e+01  2.273627e+00  5.653743e+00  1.153251e+00  1.874602e+01  3.266545e+00  1.999688e-12  1.744380e-12      19.0     4.824700       4.180600
56   eq3j  eq0b  1200.0          inf        0      200  400.000000  1.570992e+01  1.682495e+00  4.132894e+00  7.035308e-01  1.125858e+01  1.702901e+00  3.184519e-01  3.619196e-01      21.0     5.307900       4.708000
57   eq3j  eq0b  1200.0          inf        1      400  600.000000  3.862024e+01  2.937475e+00  9.830042e+00  1.327142e+00  2.802477e+01  2.832928e+00  7.654284e-01  8.826882e-01      28.0     5.822300       5.183100
58   eq3j  eq0b  1200.0          inf        2      600  900.000000  2.792437e+01  2.193134e+00  5.661919e+00  8.362205e-01  2.175166e+01  2.126176e+00  5.107893e-01  5.874071e-01      31.0     5.567764       5.567764
59   eq3j  eq0b  1200.0          inf        3      900         inf  1.861326e+01  2.028365e+00  2.462679e+00  4.565590e-01  1.584009e+01  1.983292e+00  3.104881e-01  3.566781e-01      17.0     4.808400       4.209500
60   eq3j  eq1b   200.0   400.000000        0      200         inf  2.692729e+03  4.419712e+01  1.848553e+03  1.256696e+02  8.156607e+02  1.136853e+02  2.851569e+01  2.233760e+01    2703.0    51.990384      51.990384
61   eq3j  eq1b   400.0   600.000000        0      200  400.000000  1.269636e+03  2.910502e+01  7.026890e+02  4.134649e+01  5.627062e+02  4.809978e+01  4.240812e+00  4.404619e+00    1212.0    34.813790      34.813790
62   eq3j  eq1b   400.0   600.000000        1      400         inf  2.685675e+02  9.833637e+00  1.189016e+02  1.178662e+01  1.488228e+02  1.737581e+01  8.431292e-01  9.297394e-01     301.0    17.349352      17.349352
63   eq3j  eq1b   600.0   900.000000        0      200  400.000000  1.043337e+02  5.534374e+00  4.296743e+01  4.916087e+00  6.136624e+01  8.208767e+00  1.629178e-06  1.471193e-06     110.0    10.488088      10.488088
64   eq3j  eq1b   600.0   900.000000        1      400  600.000000  9.041942e+01  5.055006e+00  2.969525e+01  2.880223e+00  6.072417e+01  7.027533e+00  1.340226e-06  1.193842e-06      96.0     9.797959       9.797959
65   eq3j  eq1b   600.0   900.000000        2      600         inf  3.933635e+01  2.614860e+00  9.919766e+00  1.259228e+00  2.941658e+01  4.147958e+00  5.637978e-07  4.955761e-07      42.0     6.480741       6.480741
66   eq3j  eq1b   900.0  1200.000000        0      200  400.000000  4.125542e+01  4.026623e+00  2.002425e+01  3.149118e+00  2.123117e+01  5.332241e+00  1.999991e-12  1.747757e-12      39.0     6.244998       6.244998
67   eq3j  eq1b   900.0  1200.000000        1      400  600.000000  2.426997e+01  2.226278e+00  9.486582e+00  1.356939e+00  1.478338e+01  3.332271e+00  2.000126e-12  1.748077e-12      24.0     5.327800       4.675100
68   eq3j  eq1b   900.0  1200.000000        2      600  900.000000  1.599761e+01  1.793497e+00  3.946374e+00  6.806261e-01  1.205124e+01  2.724599e+00  1.999963e-12  1.748545e-12      10.0     3.806000       3.223600
69   eq3j  eq1b   900.0  1200.000000        3      900         inf  5.260854e+00  1.188798e+00  5.102586e-01  1.097968e-01  4.750595e+00  1.418831e+00  1.999920e-12  1.746664e-12       6.0     3.278300       2.176900
70   eq3j  eq1b  1200.0          inf        0      200  400.000000  2.763475e+00  5.069873e-01  1.022280e+00  2.024260e-01  1.693731e+00  4.970593e-01  4.746349e-02  5.452888e-02       3.0     2.301200       1.896400
71   eq3j  eq1b  1200.0          inf        1      400  600.000000  6.406393e+00  1.146143e+00  2.114920e+00  3.573017e-01  4.185133e+00  1.106326e+00  1.063405e-01  1.221479e-01       5.0     2.806400       2.249500
72   eq3j  eq1b  1200.0          inf        2      600  900.000000  4.663466e+00  9.290548e-01  1.089331e+00  1.975762e-01  3.501509e+00  9.119713e-01  7.262592e-02  8.340471e-02       7.0     3.300600       2.749600
