njet,bjet,ht_low,ht_high,mht_low,mht_high,bkg,bkg_err,data
eq23j,eq01b,200.0,inf,200,400.0,66975.023438,809.857247,66955.0
eq23j,eq01b,200.0,inf,400,600.0,5925.655273,114.503008,5946.0
eq23j,eq01b,200.0,inf,600,900.0,894.074097,33.453406,903.0
eq23j,eq01b,200.0,inf,900,inf,108.387512,8.92614,100.0
eq23j,ge2b,200.0,inf,200,400.0,1040.857788,28.977761,1045.0
eq23j,ge2b,200.0,inf,400,600.0,69.749878,3.339822,70.0
eq23j,ge2b,200.0,inf,600,900.0,8.125673,0.759473,6.0
eq23j,ge2b,200.0,inf,900,inf,1.306475,0.218499,0.0
eq45j,eq01b,400.0,inf,200,400.0,9545.330078,140.165211,9546.0
eq45j,eq01b,400.0,inf,400,600.0,1754.045532,44.583338,1734.0
eq45j,eq01b,400.0,inf,600,900.0,294.766113,13.894818,315.0
eq45j,eq01b,400.0,inf,900,inf,42.328415,4.897055,44.0
eq45j,ge2b,400.0,inf,200,400.0,1012.787598,25.681208,1012.0
eq45j,ge2b,400.0,inf,400,600.0,87.94693,3.600366,93.0
eq45j,ge2b,400.0,inf,600,900.0,9.642342,0.799499,4.0
eq45j,ge2b,400.0,inf,900,inf,1.62135,0.297804,3.0
ge1j2a,eq0b,200.0,inf,200,400.0,411151.78125,5962.093592,411184.0
ge1j2a,eq0b,200.0,inf,400,600.0,11429.067383,264.060883,11448.0
ge1j2a,eq0b,200.0,inf,600,900.0,1119.040649,49.888427,1116.0
ge1j2a,eq0b,200.0,inf,900,inf,112.916634,12.368094,111.0
ge1j2a,ge1b,200.0,inf,200,400.0,31187.220703,280.154689,31174.0
ge1j2a,ge1b,200.0,inf,400,600.0,786.761169,27.35044,769.0
ge1j2a,ge1b,200.0,inf,600,900.0,106.428032,9.647847,105.0
ge1j2a,ge1b,200.0,inf,900,inf,8.910107,2.637112,7.0
ge6j,eq01b,400.0,inf,200,400.0,757.85968,24.572434,758.0
ge6j,eq01b,400.0,inf,400,600.0,145.734253,8.588314,141.0
ge6j,eq01b,400.0,inf,600,900.0,30.035583,3.200971,33.0
ge6j,eq01b,400.0,inf,900,inf,4.836493,1.187416,5.0
ge6j,ge2b,400.0,inf,200,400.0,193.57489,10.940339,197.0
ge6j,ge2b,400.0,inf,400,600.0,16.829174,1.387713,14.0
ge6j,ge2b,400.0,inf,600,900.0,2.007991,0.3138,3.0
ge6j,ge2b,400.0,inf,900,inf,0.187077,0.060661,0.0
