njet,bjet,ht_low,ht_high,mht_low,mht_high,bkg,bkg_err,data
eq3j,eq3b,200.0,400.0,200,inf,14.905715,2.114618,16.0
eq3j,eq3b,400.0,600.0,200,400.0,6.679358,1.109485,10.0
eq3j,eq3b,400.0,600.0,400,inf,0.839153,0.07715,2.0
eq3j,eq3b,600.0,inf,200,400.0,0.363733,0.053271,3.0
eq3j,eq3b,600.0,inf,400,600.0,0.374575,0.057118,3.0
eq3j,eq3b,600.0,inf,600,inf,0.203675,0.025651,0.0
eq4j,eq0b,400.0,600.0,200,400.0,4329.47998,83.758332,4324.0
eq4j,eq0b,400.0,600.0,400,inf,436.700989,15.91847,437.0
eq4j,eq0b,600.0,900.0,200,400.0,747.612366,22.161818,751.0
eq4j,eq0b,600.0,900.0,400,600.0,473.33609,16.346086,484.0
eq4j,eq0b,600.0,900.0,600,inf,99.381622,5.944217,110.0
eq4j,eq0b,900.0,1200.0,200,400.0,183.018631,8.826356,186.0
eq4j,eq0b,900.0,1200.0,400,600.0,111.108307,6.326768,111.0
eq4j,eq0b,900.0,1200.0,600,900.0,59.599285,4.567489,66.0
eq4j,eq0b,900.0,1200.0,900,inf,8.646679,1.277725,13.0
eq4j,eq0b,1200.0,inf,200,400.0,16.231136,1.979736,13.0
eq4j,eq0b,1200.0,inf,400,600.0,35.488106,3.067894,32.0
eq4j,eq0b,1200.0,inf,600,900.0,25.286983,2.396638,28.0
eq4j,eq0b,1200.0,inf,900,inf,15.606614,1.783536,15.0
eq4j,eq1b,400.0,600.0,200,400.0,1503.756714,31.815037,1497.0
eq4j,eq1b,400.0,600.0,400,inf,122.0858,6.019812,109.0
eq4j,eq1b,600.0,900.0,200,400.0,199.286453,8.99747,184.0
eq4j,eq1b,600.0,900.0,400,600.0,114.012108,6.275503,106.0
eq4j,eq1b,600.0,900.0,600,inf,20.427509,1.68432,19.0
eq4j,eq1b,900.0,1200.0,200,400.0,46.077667,4.123854,60.0
eq4j,eq1b,900.0,1200.0,400,600.0,24.649506,2.615245,19.0
eq4j,eq1b,900.0,1200.0,600,900.0,11.080759,1.472989,11.0
eq4j,eq1b,900.0,1200.0,900,inf,1.395765,0.318179,1.0
eq4j,eq1b,1200.0,inf,200,400.0,5.176134,0.77303,7.0
eq4j,eq1b,1200.0,inf,400,600.0,12.438615,1.691794,11.0
eq4j,eq1b,1200.0,inf,600,900.0,6.365658,1.04767,7.0
eq4j,eq1b,1200.0,inf,900,inf,4.481221,0.891802,4.0
eq4j,eq2b,400.0,600.0,200,400.0,505.643494,14.631946,524.0
eq4j,eq2b,400.0,600.0,400,inf,26.650562,1.535463,29.0
eq4j,eq2b,600.0,900.0,200,400.0,38.501945,1.816956,50.0
eq4j,eq2b,600.0,900.0,400,600.0,21.122719,1.084425,19.0
eq4j,eq2b,600.0,900.0,600,inf,2.881171,0.242266,1.0
eq4j,eq2b,900.0,1200.0,200,400.0,7.558969,0.857147,10.0
eq4j,eq2b,900.0,1200.0,400,600.0,3.791648,0.398161,7.0
eq4j,eq2b,900.0,1200.0,600,900.0,1.510398,0.188342,0.0
