njet,bjet,ht_low,ht_high,mht_low,mht_high,bkg,bkg_err,data
eq3j,eq2b,1200.0,inf,900,inf,0.300612,0.111941,0.0
eq3j,eq3b,200.0,400.0,200,inf,12.109401,2.589846,16.0
eq3j,eq3b,400.0,600.0,200,400.0,7.945548,1.604679,10.0
eq3j,eq3b,400.0,600.0,400,inf,0.761352,0.157075,2.0
eq3j,eq3b,600.0,inf,200,400.0,0.358031,0.081335,3.0
eq3j,eq3b,600.0,inf,400,600.0,0.349309,0.069469,3.0
eq3j,eq3b,600.0,inf,600,inf,0.16106,0.043576,0.0
eq4j,eq0b,400.0,600.0,200,400.0,4749.118164,591.409063,4324.0
eq4j,eq0b,400.0,600.0,400,inf,460.440063,95.071923,437.0
eq4j,eq0b,600.0,900.0,200,400.0,936.962646,133.364041,751.0
eq4j,eq0b,600.0,900.0,400,600.0,521.68335,90.625748,484.0
eq4j,eq0b,600.0,900.0,600,inf,103.666893,25.399495,110.0
eq4j,eq0b,900.0,1200.0,200,400.0,251.168198,37.94494,186.0
eq4j,eq0b,900.0,1200.0,400,600.0,142.949738,23.723439,111.0
eq4j,eq0b,900.0,1200.0,600,900.0,71.717209,17.695294,66.0
eq4j,eq0b,900.0,1200.0,900,inf,10.598586,4.171015,13.0
eq4j,eq0b,1200.0,inf,200,400.0,23.840714,5.895428,13.0
eq4j,eq0b,1200.0,inf,400,600.0,42.974197,8.859977,32.0
eq4j,eq0b,1200.0,inf,600,900.0,26.783634,6.717218,28.0
eq4j,eq0b,1200.0,inf,900,inf,13.931259,5.389437,15.0
eq4j,eq1b,400.0,600.0,200,400.0,1444.403931,165.504343,1497.0
eq4j,eq1b,400.0,600.0,400,inf,109.843826,18.106824,109.0
eq4j,eq1b,600.0,900.0,200,400.0,196.59494,25.44035,184.0
eq4j,eq1b,600.0,900.0,400,600.0,100.899475,15.601321,106.0
eq4j,eq1b,600.0,900.0,600,inf,17.211666,4.068699,19.0
eq4j,eq1b,900.0,1200.0,200,400.0,53.807915,7.774321,60.0
eq4j,eq1b,900.0,1200.0,400,600.0,27.694424,4.565053,19.0
eq4j,eq1b,900.0,1200.0,600,900.0,12.283701,2.984525,11.0
eq4j,eq1b,900.0,1200.0,900,inf,1.836064,0.74491,1.0
eq4j,eq1b,1200.0,inf,200,400.0,5.185707,1.263258,7.0
eq4j,eq1b,1200.0,inf,400,600.0,10.639505,2.218101,11.0
eq4j,eq1b,1200.0,inf,600,900.0,4.800444,1.190108,7.0
eq4j,eq1b,1200.0,inf,900,inf,2.883545,1.089983,4.0
eq4j,eq2b,400.0,600.0,200,400.0,490.04895,62.883759,524.0
eq4j,eq2b,400.0,600.0,400,inf,23.980328,3.823683,29.0
eq4j,eq2b,600.0,900.0,200,400.0,39.238701,4.975999,50.0
eq4j,eq2b,600.0,900.0,400,600.0,19.895685,2.759488,19.0
eq4j,eq2b,600.0,900.0,600,inf,2.411515,0.563381,1.0
eq4j,eq2b,900.0,1200.0,200,400.0,8.714804,1.279732,10.0
eq4j,eq2b,900.0,1200.0,400,600.0,4.142706,0.692498,7.0
eq4j,eq2b,900.0,1200.0,600,900.0,1.705944,0.401992,0.0
eq4j,eq2b,900.0,1200.0,900,inf,0.290846,0.117807,1.0
eq4j,eq2b,1200.0,inf,200,400.0,0.72534,0.176712,1.0
eq4j,eq2b,1200.0,inf,400,600.0,1.549643,0.336658,0.0
eq4j,eq2b,1200.0,inf,600,900.0,0.519074,0.131183,0.0
eq4j,eq2b,1200.0,inf,900,inf,0.382643,0.146586,1.0
eq4j,eq3b,400.0,600.0,200,400.0,36.833065,5.236849,35.0
eq4j,eq3b,400.0,600.0,400,inf,1.575741,0.268731,1.0
eq4j,eq3b,600.0,900.0,200,400.0,2.454832,0.331572,6.0
eq4j,eq3b,600.0,900.0,400,600.0,1.155272,0.178158,0.0
eq4j,eq3b,600.0,900.0,600,inf,0.153695,0.03317,0.0
eq4j,eq3b,900.0,inf,200,400.0,0.655757,0.118941,0.0
eq4j,eq3b,900.0,inf,400,600.0,0.374304,0.068831,0.0
eq4j,eq3b,900.0,inf,600,900.0,0.138789,0.034618,0.0
eq4j,eq3b,900.0,inf,900,inf,0.03055,0.012805,0.0
eq5j,eq0b,400.0,600.0,200,400.0,1249.956665,194.973562,1132.0
eq5j,eq0b,400.0,600.0,400,inf,73.97168,17.12819,59.0
eq5j,eq0b,600.0,900.0,200,400.0,561.433167,88.425216,435.0
eq5j,eq0b,600.0,900.0,400,600.0,197.524506,40.685246,201.0
eq5j,eq0b,600.0,900.0,600,inf,25.89757,7.718978,17.0
eq5j,eq0b,900.0,1200.0,200,400.0,149.937866,25.044106,124.0
eq5j,eq0b,900.0,1200.0,400,600.0,68.143028,12.061843,59.0
eq5j,eq0b,900.0,1200.0,600,inf,30.715908,8.606577,28.0
